Airport,Popularity,346 Airports,Airport,Popularity,Actual Frequency %,High to Low,,Popularity,Actual Frequency %,,,Low to High,Airport,Popularity,Actual Frequency %
BQK,13697,267,BQK,13697,0.771676301,,,455855,0.771676301,,,267,GRR,455855,0.771676301
BLI,13662,268,BLI,13662,0.774566474,,,496691,0.774566474,,,268,GEG,496691,0.774566474
COD,13177,269,COD,13177,0.777456647,,,512190,0.777456647,,,269,COS,512190,0.777456647
SCE,12908,270,SCE,12908,0.780346821,,,551504,0.780346821,,,270,ALB,551504,0.780346821
PUB,12853,271,PUB,12853,0.783236994,,,621755,0.783236994,,,271,LIT,621755,0.783236994
PIE,12574,272,PIE,12574,0.786127168,,,634850,0.786127168,,,272,SYR,634850,0.786127168
MEI,12383,273,MEI,12383,0.789017341,,,676579,0.789017341,,,273,RIC,676579,0.789017341
CEC,12340,274,CEC,12340,0.791907514,,,699507,0.791907514,,,274,ROC,699507,0.791907514
IYK,11882,275,IYK,11882,0.794797688,,,720780,0.794797688,,,275,DAY,720780,0.794797688
DUT,11589,276,DUT,11589,0.797687861,,,736449,0.797687861,,,276,GSO,736449,0.797687861
SPI,11436,277,SPI,11436,0.800578035,,,743458,0.800578035,,,277,ANC,743458,0.800578035
AKN,11386,278,AKN,11386,0.803468208,,,755125,0.803468208,,,278,RSW,755125,0.803468208
GCN,11215,279,GCN,11215,0.806358382,,,765624,0.806358382,,,279,OMA,765624,0.806358382
ISO,11122,280,ISO,11122,0.809248555,,,766051,0.809248555,,,280,BHM,766051,0.809248555
IPL,11087,281,IPL,11087,0.812138728,,,782365,0.812138728,,,281,TUS,782365,0.812138728
MQT,10847,282,MQT,10847,0.815028902,,,813873,0.815028902,,,282,ORF,813873,0.815028902
FLO,9888,283,FLO,9888,0.817919075,,,828296,0.817919075,,,283,PVD,828296,0.817919075
DLG,9273,284,DLG,9273,0.820809249,,,842613,0.820809249,,,284,MKE,842613,0.820809249
UCA,8816,285,UCA,8816,0.823699422,,,868685,0.823699422,,,285,SJU,868685,0.823699422
CCR,8145,286,CCR,8145,0.826589595,,,872530,0.826589595,,,286,SDF,872530,0.826589595
APF,7507,287,APF,7507,0.829479769,,,885122,0.829479769,,,287,TUL,885122,0.829479769
CDC,7397,288,CDC,7397,0.832369942,,,909127,0.832369942,,,288,OKC,909127,0.832369942
EFD,7279,289,EFD,7279,0.835260116,,,926148,0.835260116,,,289,BUF,926148,0.835260116
PMD,6579,290,PMD,6579,0.838150289,,,961812,0.838150289,,,290,RNO,961812,0.838150289
SCK,6492,291,SCK,6492,0.841040462,,,969650,0.841040462,,,291,ELP,969650,0.841040462
TVL,6139,292,TVL,6139,0.843930636,,,974191,0.843930636,,,292,HNL,974191,0.843930636
PSE,5522,293,PSE,5522,0.846820809,,,977750,0.846820809,,,293,JAX,977750,0.846820809
LWS,5273,294,LWS,5273,0.849710983,,,1005986,0.849710983,,,294,PBI,1005986,0.849710983
VCT,4879,295,VCT,4879,0.852601156,,,1094897,0.852601156,,,295,BUR,1094897,0.852601156
ROR,4415,296,ROR,4415,0.855491329,,,1221541,0.855491329,,,296,BDL,1221541,0.855491329
VIS,3975,297,VIS,3975,0.858381503,,,1429399,0.858381503,,,297,ABQ,1429399,0.858381503
TUP,3954,298,TUP,3954,0.861271676,,,1432186,0.861271676,,,298,CMH,1432186,0.861271676
ROP,3877,299,ROP,3877,0.86416185,,,1465005,0.86416185,,,299,ONT,1465005,0.86416185
EAU,3646,300,EAU,3646,0.867052023,,,1511782,0.867052023,,,300,AUS,1511782,0.867052023
ACK,3633,301,ACK,3633,0.869942197,,,1523776,0.869942197,,,301,SAT,1523776,0.869942197
GST,3571,302,GST,3571,0.87283237,,,1533796,0.87283237,,,302,SMF,1533796,0.87283237
HHH,3547,303,HHH,3547,0.875722543,,,1544797,0.875722543,,,303,SNA,1544797,0.875722543
YKM,3377,304,YKM,3377,0.878612717,,,1559858,0.878612717,,,304,IND,1559858,0.878612717
LWB,3372,305,LWB,3372,0.88150289,,,1793228,0.88150289,,,305,MSY,1793228,0.88150289
TTN,3358,306,TTN,3358,0.884393064,,,1801225,0.884393064,,,306,DAL,1801225,0.884393064
WYS,3249,307,WYS,3249,0.887283237,,,1905230,0.887283237,,,307,FLL,1905230,0.887283237
RFD,3142,308,RFD,3142,0.89017341,,,1947969,0.89017341,,,308,RDU,1947969,0.89017341
EWN,2549,309,EWN,2549,0.893063584,,,1989680,0.893063584,,,309,PDX,1989680,0.893063584
ALO,2318,310,ALO,2318,0.895953757,,,2079784,0.895953757,,,310,SJC,2079784,0.895953757
ROW,2049,311,ROW,2049,0.898843931,,,2189294,0.898843931,,,311,OAK,2189294,0.898843931
SLE,1764,312,SLE,1764,0.901734104,,,2207283,0.901734104,,,312,MCI,2207283,0.901734104
ILG,1564,313,ILG,1564,0.904624277,,,2220048,0.904624277,,,313,MDW,2220048,0.904624277
PLN,1551,314,PLN,1551,0.907514451,,,2222695,0.907514451,,,314,BNA,2222695,0.907514451
GCC,1492,315,GCC,1492,0.910404624,,,2271709,0.910404624,,,315,MEM,2271709,0.910404624
HKY,1344,316,HKY,1344,0.913294798,,,2277584,0.913294798,,,316,HOU,2277584,0.913294798
TEX,1310,317,TEX,1310,0.916184971,,,2484373,0.916184971,,,317,TPA,2484373,0.916184971
YAP,1299,318,YAP,1299,0.919075145,,,2512555,0.919075145,,,318,JFK,2512555,0.919075145
RKS,1194,319,RKS,1194,0.921965318,,,2551658,0.921965318,,,319,IAD,2551658,0.921965318
ADK,1148,320,ADK,1148,0.924855491,,,2707070,0.924855491,,,320,CLE,2707070,0.924855491
CMX,1059,321,CMX,1059,0.927745665,,,2734045,0.927745665,,,321,MIA,2734045,0.927745665
ANI,895,322,ANI,895,0.930635838,,,2908518,0.930635838,,,322,SAN,2908518,0.930635838
KSM,882,323,KSM,882,0.933526012,,,3230760,0.933526012,,,323,BWI,3230760,0.933526012
MKG,788,324,MKG,788,0.936416185,,,3464017,0.936416185,,,324,DCA,3464017,0.936416185
RHI,782,325,RHI,782,0.939306358,,,3684615,0.939306358,,,325,CVG,3684615,0.939306358
SOP,636,326,SOP,636,0.942196532,,,3721849,0.942196532,,,326,MCO,3721849,0.942196532
INL,580,327,INL,580,0.945086705,,,3736761,0.945086705,,,327,SEA,3736761,0.945086705
LNY,579,328,LNY,579,0.947976879,,,3815114,0.947976879,,,328,SLC,3815114,0.947976879
MKK,577,329,MKK,577,0.950867052,,,3936220,0.950867052,,,329,PIT,3936220,0.950867052
OTH,543,330,OTH,543,0.953757225,,,4079651,0.953757225,,,330,PHL,4079651,0.953757225
LMT,542,331,LMT,542,0.956647399,,,4311116,0.956647399,,,331,BOS,4311116,0.956647399
BJI,404,332,BJI,404,0.959537572,,,4337167,0.959537572,,,332,LGA,4337167,0.959537572
MTH,255,333,MTH,255,0.962427746,,,4824711,0.962427746,,,333,CLT,4824711,0.962427746
MAZ,239,334,MAZ,239,0.965317919,,,4962958,0.965317919,,,334,LAS,4962958,0.965317919
MIB,178,335,MIB,178,0.968208092,,,5125336,0.968208092,,,335,STL,5125336,0.968208092
RDR,92,336,RDR,92,0.971098266,,,5136971,0.971098266,,,336,EWR,5136971,0.971098266
OGD,25,337,OGD,25,0.973988439,,,5171023,0.973988439,,,337,SFO,5171023,0.973988439
CYS,14,338,CYS,14,0.976878613,,,5199213,0.976878613,,,338,MSP,5199213,0.976878613
CKB,14,339,CKB,14,0.979768786,,,5480734,0.979768786,,,339,IAH,5480734,0.979768786
PVU,13,340,PVU,13,0.98265896,,,5636622,0.98265896,,,340,DTW,5636622,0.98265896
PIR,8,341,PIR,8,0.985549133,,,6273787,0.985549133,,,341,DEN,6273787,0.985549133
FMN,8,342,FMN,8,0.988439306,,,6585534,0.988439306,,,342,PHX,6585534,0.988439306
GLH,4,343,GLH,4,0.99132948,,,7723596,0.99132948,,,343,LAX,7723596,0.99132948
MKC,3,344,MKC,3,0.994219653,,,10799303,0.994219653,,,344,DFW,10799303,0.994219653
BFF,3,345,BFF,3,0.997109827,,,11540422,0.997109827,,,345,ATL,11540422,0.997109827
BFI,2,346,BFI,2,1,,,12449354,1,,,346,ORD,12449354,0.002890173
