Airport,Popularity,346 Airports,Airport,Popularity,Actual Frequency %,High to Low,,Popularity,Actual Frequency %,,,Low to High,Airport,Popularity,Actual Frequency %
SJU,868685,62,SJU,868685,0.179190751,,,8816,0.179190751,,,62,UCA,8816,0.179190751
MKE,842613,63,MKE,842613,0.182080925,,,9273,0.182080925,,,63,DLG,9273,0.182080925
PVD,828296,64,PVD,828296,0.184971098,,,9888,0.184971098,,,64,FLO,9888,0.184971098
ORF,813873,65,ORF,813873,0.187861272,,,10847,0.187861272,,,65,MQT,10847,0.187861272
TUS,782365,66,TUS,782365,0.190751445,,,11087,0.190751445,,,66,IPL,11087,0.190751445
BHM,766051,67,BHM,766051,0.193641618,,,11122,0.193641618,,,67,ISO,11122,0.193641618
OMA,765624,68,OMA,765624,0.196531792,,,11215,0.196531792,,,68,GCN,11215,0.196531792
RSW,755125,69,RSW,755125,0.199421965,,,11386,0.199421965,,,69,AKN,11386,0.199421965
ANC,743458,70,ANC,743458,0.202312139,,,11436,0.202312139,,,70,SPI,11436,0.202312139
GSO,736449,71,GSO,736449,0.205202312,,,11589,0.205202312,,,71,DUT,11589,0.205202312
DAY,720780,72,DAY,720780,0.208092486,,,11882,0.208092486,,,72,IYK,11882,0.208092486
ROC,699507,73,ROC,699507,0.210982659,,,12340,0.210982659,,,73,CEC,12340,0.210982659
RIC,676579,74,RIC,676579,0.213872832,,,12383,0.213872832,,,74,MEI,12383,0.213872832
SYR,634850,75,SYR,634850,0.216763006,,,12574,0.216763006,,,75,PIE,12574,0.216763006
LIT,621755,76,LIT,621755,0.219653179,,,12853,0.219653179,,,76,PUB,12853,0.219653179
ALB,551504,77,ALB,551504,0.222543353,,,12908,0.222543353,,,77,SCE,12908,0.222543353
COS,512190,78,COS,512190,0.225433526,,,13177,0.225433526,,,78,COD,13177,0.225433526
GEG,496691,79,GEG,496691,0.228323699,,,13662,0.228323699,,,79,BLI,13662,0.228323699
GRR,455855,80,GRR,455855,0.231213873,,,13697,0.231213873,,,80,BQK,13697,0.231213873
MHT,451738,81,MHT,451738,0.234104046,,,13839,0.234104046,,,81,CWA,13839,0.234104046
BOI,449542,82,BOI,449542,0.23699422,,,14105,0.23699422,,,82,CIC,14105,0.23699422
CHS,422859,83,CHS,422859,0.239884393,,,14260,0.239884393,,,83,HVN,14260,0.239884393
DSM,419142,84,DSM,419142,0.242774566,,,14346,0.242774566,,,84,VLD,14346,0.242774566
ICT,398163,85,ICT,398163,0.24566474,,,14403,0.24566474,,,85,MCN,14403,0.24566474
GSP,382481,86,GSP,382481,0.248554913,,,14602,0.248554913,,,86,GUC,14602,0.248554913
TYS,381176,87,TYS,381176,0.251445087,,,14858,0.251445087,,,87,GTR,14858,0.251445087
JAN,359081,88,JAN,359081,0.25433526,,,15678,0.25433526,,,88,ABY,15678,0.25433526
SAV,351620,89,SAV,351620,0.257225434,,,15793,0.257225434,,,89,LCH,15793,0.257225434
LBB,326121,90,LBB,326121,0.260115607,,,16333,0.260115607,,,90,BQN,16333,0.260115607
CAE,321310,91,CAE,321310,0.26300578,,,16911,0.26300578,,,91,BPT,16911,0.26300578
SRQ,319259,92,SRQ,319259,0.265895954,,,17267,0.265895954,,,92,ACY,17267,0.265895954
MDT,317568,93,MDT,317568,0.268786127,,,17443,0.268786127,,,93,GGG,17443,0.268786127
OGG,314415,94,OGG,314415,0.271676301,,,17856,0.271676301,,,94,LYH,17856,0.271676301
PWM,306058,95,PWM,306058,0.274566474,,,17968,0.274566474,,,95,SPN,17968,0.274566474
HSV,303223,96,HSV,303223,0.277456647,,,18538,0.277456647,,,96,OXR,18538,0.277456647
PNS,297986,97,PNS,297986,0.280346821,,,18654,0.280346821,,,97,DBQ,18654,0.280346821
LGB,296327,98,LGB,296327,0.283236994,,,19362,0.283236994,,,98,ADQ,19362,0.283236994
MAF,294809,99,MAF,294809,0.286127168,,,20700,0.286127168,,,99,DHN,20700,0.286127168
ISP,293445,100,ISP,293445,0.289017341,,,20971,0.289017341,,,100,OAJ,20971,0.289017341
BTR,284860,101,BTR,284860,0.291907514,,,21328,0.291907514,,,101,BTM,21328,0.291907514
MSN,280252,102,MSN,280252,0.294797688,,,21328,0.294797688,,,102,PIH,21328,0.294797688
PSP,278348,103,PSP,278348,0.297687861,,,21497,0.297687861,,,103,TXK,21497,0.297687861
FAT,259790,104,FAT,259790,0.300578035,,,21799,0.300578035,,,104,SCC,21799,0.300578035
LEX,249460,105,LEX,249460,0.303468208,,,22689,0.303468208,,,105,SMX,22689,0.303468208
AMA,247873,106,AMA,247873,0.306358382,,,23109,0.306358382,,,106,RDD,23109,0.306358382
CID,244688,107,CID,244688,0.309248555,,,23192,0.309248555,,,107,ILE,23192,0.309248555
SHV,244147,108,SHV,244147,0.312138728,,,23336,0.312138728,,,108,MOD,23336,0.312138728
HPN,236735,109,HPN,236735,0.315028902,,,24235,0.315028902,,,109,TWF,24235,0.315028902
ABE,236094,110,ABE,236094,0.317919075,,,24669,0.317919075,,,110,BRW,24669,0.317919075
CRP,231968,111,CRP,231968,0.320809249,,,24789,0.320809249,,,111,EKO,24789,0.320809249
SBA,228312,112,SBA,228312,0.323699422,,,26870,0.323699422,,,112,ORH,26870,0.323699422
MOB,228138,113,MOB,228138,0.326589595,,,27272,0.326589595,,,113,ASE,27272,0.326589595
HRL,218786,114,HRL,218786,0.329479769,,,27760,0.329479769,,,114,CLD,27760,0.329479769
BTV,210310,115,BTV,210310,0.332369942,,,28226,0.332369942,,,115,YAK,28226,0.332369942
FSD,195130,116,FSD,195130,0.335260116,,,28254,0.335260116,,,116,PSG,28254,0.335260116
TLH,194399,117,TLH,194399,0.338150289,,,28287,0.338150289,,,117,WRG,28287,0.338150289
FAI,187332,118,FAI,187332,0.341040462,,,28473,0.341040462,,,118,CDV,28473,0.341040462
BIL,174710,119,BIL,174710,0.343930636,,,28597,0.343930636,,,119,BRO,28597,0.343930636
JNU,167764,120,JNU,167764,0.346820809,,,30230,0.346820809,,,120,SJT,30230,0.346820809
XNA,166467,121,XNA,166467,0.349710983,,,30462,0.349710983,,,121,GUM,30462,0.349710983
DAB,165764,122,DAB,165764,0.352601156,,,31607,0.352601156,,,122,EYW,31607,0.352601156
GRB,163187,123,GRB,163187,0.355491329,,,32180,0.355491329,,,123,SPS,32180,0.355491329
MYR,157749,124,MYR,157749,0.358381503,,,32671,0.358381503,,,124,LAW,32671,0.358381503
SGF,156574,125,SGF,156574,0.361271676,,,32869,0.361271676,,,125,MTJ,32869,0.361271676
CAK,154699,126,CAK,154699,0.36416185,,,33116,0.36416185,,,126,LRD,33116,0.36416185
FWA,149263,127,FWA,149263,0.367052023,,,33154,0.367052023,,,127,FLG,33154,0.367052023
KOA,147653,128,KOA,147653,0.369942197,,,33393,0.369942197,,,128,HTS,33393,0.369942197
MLI,144477,129,MLI,144477,0.37283237,,,33784,0.37283237,,,129,FSM,33784,0.37283237
MBS,143550,130,MBS,143550,0.375722543,,,33813,0.375722543,,,130,AEX,33813,0.375722543
LIH,142206,131,LIH,142206,0.378612717,,,34435,0.378612717,,,131,SUX,34435,0.378612717
EUG,139368,132,EUG,139368,0.38150289,,,34926,0.38150289,,,132,ITH,34926,0.38150289
CHA,135634,133,CHA,135634,0.384393064,,,35773,0.384393064,,,133,SUN,35773,0.384393064
BZN,135244,134,BZN,135244,0.387283237,,,36065,0.387283237,,,134,CSG,36065,0.387283237
ROA,133819,135,ROA,133819,0.39017341,,,36664,0.39017341,,,135,HDN,36664,0.39017341
MFE,129979,136,MFE,129979,0.393063584,,,36840,0.393063584,,,136,BET,36840,0.393063584
MRY,128873,137,MRY,128873,0.395953757,,,36852,0.395953757,,,137,CLL,36852,0.395953757
LAN,128385,138,LAN,128385,0.398843931,,,37173,0.398843931,,,138,SGU,37173,0.398843931
MLB,127450,139,MLB,127450,0.401734104,,,37284,0.401734104,,,139,TYR,37284,0.401734104
