route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_deptime,second_depdate,second_delay,total_delay
LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,OH5466,1/3/08,1335,240,248
LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,OH5366,1/3/08,1736,8,17
LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,OH5366,1/3/08,1736,8,17
LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,OH5466,1/3/08,1335,240,249
LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,OH5466,1/3/08,1335,240,249
LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,MQ4138,1/3/08,1425,33,42
LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,OH5466,1/3/08,1335,240,236
LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,MQ4138,1/3/08,1425,33,42
LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,AA2352,1/3/08,1708,46,55
LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,B6908,1/3/08,1208,13,22
LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,AA2352,1/3/08,1708,46,55
LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,B6908,1/3/08,1208,13,22
LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,B6916,1/3/08,1603,8,17
LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,B6916,1/3/08,1603,8,17
LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,B6918,1/3/08,1853,-14,-5
LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,B6918,1/3/08,1853,-14,-5
LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,AA2352,1/3/08,1708,46,59
LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,MQ4138,1/3/08,1425,33,29
LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,B6916,1/3/08,1603,8,21
LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,B6918,1/3/08,1853,-14,-1
LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,B6908,1/3/08,1208,13,26
LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,MQ4138,1/3/08,1425,33,46
LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,OH5466,1/3/08,1335,240,253
LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,OH5366,1/3/08,1736,8,21
LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,OH5366,1/3/08,1736,8,22
LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,OH5466,1/3/08,1335,240,254
LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,MQ4138,1/3/08,1425,33,47
LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,AA2352,1/3/08,1708,46,60
LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,B6918,1/3/08,1853,-14,-18
LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,B6918,1/3/08,1853,-14,0
LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,B6908,1/3/08,1208,13,27
LAX_ORD_JFK,LAX,ORD,JFK,UA110,1/1/08,1005,14,B6916,1/3/08,1603,8,22
LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,AA2352,1/3/08,1708,46,157
LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,B6918,1/3/08,1853,-14,97
LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,B6916,1/3/08,1603,8,119
LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,B6908,1/3/08,1208,13,124
LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,MQ4138,1/3/08,1425,33,144
LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,OH5466,1/3/08,1335,240,351
LAX_ORD_JFK,LAX,ORD,JFK,AA1372,1/1/08,1106,111,OH5366,1/3/08,1736,8,119
LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,AA2352,1/3/08,1708,46,42
LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,OH5466,1/3/08,1335,240,543
LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,OH5366,1/3/08,1736,8,311
LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,MQ4138,1/3/08,1425,33,336
LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,AA2352,1/3/08,1708,46,349
LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,B6908,1/3/08,1208,13,316
LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,B6916,1/3/08,1603,8,311
LAX_ORD_JFK,LAX,ORD,JFK,AA1740,1/1/08,217,303,B6918,1/3/08,1853,-14,289
LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,B6916,1/3/08,1603,8,4
LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,B6908,1/3/08,1208,13,9
LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,AA2352,1/3/08,1708,46,54
LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,B6908,1/3/08,1208,13,21
DFW_STL_ORD,DFW,STL,ORD,AA1336,1/24/08,657,-14,AA2245,1/26/08,1654,-5,-19
DFW_STL_ORD,DFW,STL,ORD,AA1642,9/7/08,908,-9,AA354,9/9/08,1433,-14,-23
DFW_STL_ORD,DFW,STL,ORD,AA1642,9/7/08,908,-9,AA360,9/9/08,1232,-5,-14
DFW_STL_ORD,DFW,STL,ORD,AA1642,9/7/08,908,-9,AA425,9/9/08,1336,-13,-22
DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA360,9/9/08,1232,-5,-13
DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA354,9/9/08,1433,-14,-22
DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA425,9/9/08,1336,-13,-21
DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA1754,9/9/08,1920,-11,-19
DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA635,9/9/08,1554,-20,-28
DFW_STL_ORD,DFW,STL,ORD,AA1118,9/7/08,1045,-8,AA1002,9/9/08,1742,-12,-20
DFW_STL_ORD,DFW,STL,ORD,AA1336,1/24/08,657,-14,AA1835,1/26/08,1330,0,-14
DFW_STL_ORD,DFW,STL,ORD,AA1336,1/24/08,657,-14,AA640,1/26/08,1452,79,65
DFW_STL_ORD,DFW,STL,ORD,AA314,1/24/08,836,-9,AA640,1/26/08,1452,79,70
DFW_STL_ORD,DFW,STL,ORD,AA314,1/24/08,836,-9,AA1835,1/26/08,1330,0,-9
DFW_STL_ORD,DFW,STL,ORD,AA314,1/24/08,836,-9,AA2245,1/26/08,1654,-5,-14
DFW_STL_ORD,DFW,STL,ORD,AA1030,1/24/08,940,-8,AA2245,1/26/08,1654,-5,-13
DFW_STL_ORD,DFW,STL,ORD,AA1030,1/24/08,940,-8,AA1835,1/26/08,1330,0,-8
DFW_STL_ORD,DFW,STL,ORD,AA1030,1/24/08,940,-8,AA640,1/26/08,1452,79,71
LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,UA1540,7/14/08,1247,-7,-20
LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,US1550,7/14/08,1218,42,33
LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,US412,7/14/08,1916,-28,-37
LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,US408,7/14/08,1713,-2,-11
LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,UA1540,7/14/08,1247,-7,-16
LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,WN1619,7/14/08,1602,5,-4
LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,WN2645,7/14/08,2026,-21,-30
LAX_SFO_PHX,LAX,SFO,PHX,UA1167,7/12/08,658,-9,WN2348,7/14/08,1224,23,14
LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,WN1619,7/14/08,1602,5,-3
LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,WN2348,7/14/08,1224,23,15
LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,WN2645,7/14/08,2026,-21,-29
LAX_SFO_PHX,LAX,SFO,PHX,WN3534,7/12/08,650,-13,WN2348,7/14/08,1224,23,10
LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,US128,7/14/08,1554,43,35
LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,US1550,7/14/08,1218,42,34
LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,US412,7/14/08,1916,-28,-36
LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,US408,7/14/08,1713,-2,-10
LAX_SFO_PHX,LAX,SFO,PHX,UA889,7/12/08,758,-8,UA1540,7/14/08,1247,-7,-15
LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,UA1540,7/14/08,1247,-7,3
LAX_SFO_PHX,LAX,SFO,PHX,WN3002,7/12/08,805,10,WN2348,7/14/08,1224,23,33
