rank,route,second_delay,first_delay,secondflight,total_delay,second_deptime,depdate,firstflight,second_depdate,dest,origin,layover,deptime
28,DFW_ORD_DFW,326,-14,1846,312,6/12/08,6/10/08,AA2328,AA2337,DFW,DFW,ORD,748
29,DFW_ORD_DFW,21,-14,1914,7,6/12/08,6/10/08,AA2328,AA47,DFW,DFW,ORD,748
3,DFW_ORD_DFW,34,-23,1702,11,6/12/08,6/10/08,UA1104,UA357,DFW,DFW,ORD,658
30,DFW_ORD_DFW,-8,-14,1446,-22,6/12/08,6/10/08,AA2328,OO6119,DFW,DFW,ORD,748
31,DFW_ORD_DFW,34,-14,1702,20,6/12/08,6/10/08,AA2328,UA357,DFW,DFW,ORD,748
32,DFW_ORD_DFW,29,-14,2036,15,6/12/08,6/10/08,AA2328,UA725,DFW,DFW,ORD,748
33,DFW_ORD_DFW,34,-11,1702,23,6/12/08,6/10/08,AA2332,UA357,DFW,DFW,ORD,914
34,DFW_ORD_DFW,29,-11,2036,18,6/12/08,6/10/08,AA2332,UA725,DFW,DFW,ORD,914
35,DFW_ORD_DFW,21,-11,1914,10,6/12/08,6/10/08,AA2332,AA47,DFW,DFW,ORD,914
36,DFW_ORD_DFW,2,-11,1257,-9,6/12/08,6/10/08,AA2332,AA2325,DFW,DFW,ORD,914
37,DFW_ORD_DFW,6,-11,1416,-5,6/12/08,6/10/08,AA2332,AA2331,DFW,DFW,ORD,914
38,DFW_ORD_DFW,-5,-11,1650,-16,6/12/08,6/10/08,AA2332,AA2341,DFW,DFW,ORD,914
39,DFW_ORD_DFW,326,-11,1846,315,6/12/08,6/10/08,AA2332,AA2337,DFW,DFW,ORD,914
4,DFW_ORD_DFW,29,-23,2036,6,6/12/08,6/10/08,UA1104,UA725,DFW,DFW,ORD,658
40,DFW_ORD_DFW,-4,-11,1515,-15,6/12/08,6/10/08,AA2332,AA2333,DFW,DFW,ORD,914
41,DFW_ORD_DFW,15,-11,1205,4,6/12/08,6/10/08,AA2332,AA2321,DFW,DFW,ORD,914
42,DFW_ORD_DFW,180,-11,2019,169,6/12/08,6/10/08,AA2332,AA2349,DFW,DFW,ORD,914
43,DFW_ORD_DFW,344,-11,2335,333,6/12/08,6/10/08,AA2332,AA2357,DFW,DFW,ORD,914
44,DFW_ORD_DFW,338,-11,2249,327,6/12/08,6/10/08,AA2332,AA2355,DFW,DFW,ORD,914
45,DFW_ORD_DFW,59,-11,1807,48,6/12/08,6/10/08,AA2332,AA2345,DFW,DFW,ORD,914
46,DFW_ORD_DFW,178,-11,2312,167,6/12/08,6/10/08,AA2332,AA2361,DFW,DFW,ORD,914
47,DFW_ORD_DFW,8,-11,1327,-3,6/12/08,6/10/08,AA2332,AA2329,DFW,DFW,ORD,914
48,DFW_ORD_DFW,-8,-11,1446,-19,6/12/08,6/10/08,AA2332,OO6119,DFW,DFW,ORD,914
49,DFW_ORD_DFW,-8,-10,1446,-18,6/12/08,6/10/08,OO6441,OO6119,DFW,DFW,ORD,924
5,DFW_ORD_DFW,344,-23,2335,321,6/12/08,6/10/08,UA1104,AA2357,DFW,DFW,ORD,658
50,DFW_ORD_DFW,21,-10,1914,11,6/12/08,6/10/08,OO6441,AA47,DFW,DFW,ORD,924
51,DFW_ORD_DFW,34,-10,1702,24,6/12/08,6/10/08,OO6441,UA357,DFW,DFW,ORD,924
52,DFW_ORD_DFW,29,-10,2036,19,6/12/08,6/10/08,OO6441,UA725,DFW,DFW,ORD,924
53,DFW_ORD_DFW,6,-10,1416,-4,6/12/08,6/10/08,OO6441,AA2331,DFW,DFW,ORD,924
54,DFW_ORD_DFW,15,-10,1205,5,6/12/08,6/10/08,OO6441,AA2321,DFW,DFW,ORD,924
55,DFW_ORD_DFW,178,-10,2312,168,6/12/08,6/10/08,OO6441,AA2361,DFW,DFW,ORD,924
56,DFW_ORD_DFW,338,-10,2249,328,6/12/08,6/10/08,OO6441,AA2355,DFW,DFW,ORD,924
57,DFW_ORD_DFW,344,-10,2335,334,6/12/08,6/10/08,OO6441,AA2357,DFW,DFW,ORD,924
58,DFW_ORD_DFW,326,-10,1846,316,6/12/08,6/10/08,OO6441,AA2337,DFW,DFW,ORD,924
59,DFW_ORD_DFW,-4,-10,1515,-14,6/12/08,6/10/08,OO6441,AA2333,DFW,DFW,ORD,924
6,DFW_ORD_DFW,178,-23,2312,155,6/12/08,6/10/08,UA1104,AA2361,DFW,DFW,ORD,658
60,DFW_ORD_DFW,180,-10,2019,170,6/12/08,6/10/08,OO6441,AA2349,DFW,DFW,ORD,924
61,DFW_ORD_DFW,-5,-10,1650,-15,6/12/08,6/10/08,OO6441,AA2341,DFW,DFW,ORD,924
62,DFW_ORD_DFW,8,-10,1327,-2,6/12/08,6/10/08,OO6441,AA2329,DFW,DFW,ORD,924
63,DFW_ORD_DFW,2,-10,1257,-8,6/12/08,6/10/08,OO6441,AA2325,DFW,DFW,ORD,924
64,DFW_ORD_DFW,59,-10,1807,49,6/12/08,6/10/08,OO6441,AA2345,DFW,DFW,ORD,924
65,DFW_ORD_DFW,2,-7,1257,-5,6/12/08,6/10/08,AA2344,AA2325,DFW,DFW,ORD,1139
66,DFW_ORD_DFW,338,-7,2249,331,6/12/08,6/10/08,AA2344,AA2355,DFW,DFW,ORD,1139
67,DFW_ORD_DFW,8,-7,1327,1,6/12/08,6/10/08,AA2344,AA2329,DFW,DFW,ORD,1139
68,DFW_ORD_DFW,59,-7,1807,52,6/12/08,6/10/08,AA2344,AA2345,DFW,DFW,ORD,1139
69,DFW_ORD_DFW,-5,-7,1650,-12,6/12/08,6/10/08,AA2344,AA2341,DFW,DFW,ORD,1139
7,DFW_ORD_DFW,15,-23,1205,-8,6/12/08,6/10/08,UA1104,AA2321,DFW,DFW,ORD,658
70,DFW_ORD_DFW,15,-7,1205,8,6/12/08,6/10/08,AA2344,AA2321,DFW,DFW,ORD,1139
71,DFW_ORD_DFW,-4,-7,1515,-11,6/12/08,6/10/08,AA2344,AA2333,DFW,DFW,ORD,1139
72,DFW_ORD_DFW,344,-7,2335,337,6/12/08,6/10/08,AA2344,AA2357,DFW,DFW,ORD,1139
73,DFW_ORD_DFW,326,-7,1846,319,6/12/08,6/10/08,AA2344,AA2337,DFW,DFW,ORD,1139
74,DFW_ORD_DFW,178,-7,2312,171,6/12/08,6/10/08,AA2344,AA2361,DFW,DFW,ORD,1139
75,DFW_ORD_DFW,6,-7,1416,-1,6/12/08,6/10/08,AA2344,AA2331,DFW,DFW,ORD,1139
76,DFW_ORD_DFW,180,-7,2019,173,6/12/08,6/10/08,AA2344,AA2349,DFW,DFW,ORD,1139
77,DFW_ORD_DFW,21,-7,1914,14,6/12/08,6/10/08,AA2344,AA47,DFW,DFW,ORD,1139
78,DFW_ORD_DFW,-8,-7,1446,-15,6/12/08,6/10/08,AA2344,OO6119,DFW,DFW,ORD,1139
79,DFW_ORD_DFW,34,-7,1702,27,6/12/08,6/10/08,AA2344,UA357,DFW,DFW,ORD,1139
8,DFW_ORD_DFW,8,-23,1327,-15,6/12/08,6/10/08,UA1104,AA2329,DFW,DFW,ORD,658
80,DFW_ORD_DFW,29,-7,2036,22,6/12/08,6/10/08,AA2344,UA725,DFW,DFW,ORD,1139
81,DFW_ORD_DFW,34,-1,1702,33,6/12/08,6/10/08,AA2324,UA357,DFW,DFW,ORD,653
82,DFW_ORD_DFW,29,-1,2036,28,6/12/08,6/10/08,AA2324,UA725,DFW,DFW,ORD,653
83,DFW_ORD_DFW,21,-1,1914,20,6/12/08,6/10/08,AA2324,AA47,DFW,DFW,ORD,653
84,DFW_ORD_DFW,8,-1,1327,7,6/12/08,6/10/08,AA2324,AA2329,DFW,DFW,ORD,653
85,DFW_ORD_DFW,59,-1,1807,58,6/12/08,6/10/08,AA2324,AA2345,DFW,DFW,ORD,653
86,DFW_ORD_DFW,6,-1,1416,5,6/12/08,6/10/08,AA2324,AA2331,DFW,DFW,ORD,653
87,DFW_ORD_DFW,326,-1,1846,325,6/12/08,6/10/08,AA2324,AA2337,DFW,DFW,ORD,653
88,DFW_ORD_DFW,2,-1,1257,1,6/12/08,6/10/08,AA2324,AA2325,DFW,DFW,ORD,653
89,DFW_ORD_DFW,344,-1,2335,343,6/12/08,6/10/08,AA2324,AA2357,DFW,DFW,ORD,653
9,DFW_ORD_DFW,59,-23,1807,36,6/12/08,6/10/08,UA1104,AA2345,DFW,DFW,ORD,658
90,DFW_ORD_DFW,-5,-1,1650,-6,6/12/08,6/10/08,AA2324,AA2341,DFW,DFW,ORD,653
91,DFW_ORD_DFW,180,-1,2019,179,6/12/08,6/10/08,AA2324,AA2349,DFW,DFW,ORD,653
92,DFW_ORD_DFW,178,-1,2312,177,6/12/08,6/10/08,AA2324,AA2361,DFW,DFW,ORD,653
93,DFW_ORD_DFW,15,-1,1205,14,6/12/08,6/10/08,AA2324,AA2321,DFW,DFW,ORD,653
94,DFW_ORD_DFW,338,-1,2249,337,6/12/08,6/10/08,AA2324,AA2355,DFW,DFW,ORD,653
95,DFW_ORD_DFW,-4,-1,1515,-5,6/12/08,6/10/08,AA2324,AA2333,DFW,DFW,ORD,653
96,DFW_ORD_DFW,-8,-1,1446,-9,6/12/08,6/10/08,AA2324,OO6119,DFW,DFW,ORD,653
97,DFW_ORD_DFW,-8,7,1446,-1,6/12/08,6/10/08,AA2320,OO6119,DFW,DFW,ORD,558
98,DFW_ORD_DFW,21,7,1914,28,6/12/08,6/10/08,AA2320,AA47,DFW,DFW,ORD,558
99,DFW_ORD_DFW,34,7,1702,41,6/12/08,6/10/08,AA2320,UA357,DFW,DFW,ORD,558
1,JAX_DFW_CRP,18,-2,1310,16,9/11/08,9/9/08,AA845,MQ3701,CRP,JAX,DFW,722
2,JAX_DFW_CRP,23,-2,1504,21,9/11/08,9/9/08,AA845,MQ3419,CRP,JAX,DFW,722
3,JAX_DFW_CRP,-4,-2,1648,-6,9/11/08,9/9/08,AA845,MQ3627,CRP,JAX,DFW,722
