rank,route,second_delay,first_delay,secondflight,total_delay,second_deptime,depdate,firstflight,second_depdate,dest,origin,layover,deptime
16,LAX_ORD_JFK,8,9,1736,17,1/3/08,1/1/08,AA88,OH5366,JFK,LAX,ORD,853
17,LAX_ORD_JFK,240,9,1335,249,1/3/08,1/1/08,AA88,OH5466,JFK,LAX,ORD,853
18,LAX_ORD_JFK,240,9,1335,249,1/3/08,1/1/08,AA764,OH5466,JFK,LAX,ORD,558
19,LAX_ORD_JFK,33,9,1425,42,1/3/08,1/1/08,AA88,MQ4138,JFK,LAX,ORD,853
2,LAX_ORD_JFK,240,-4,1335,236,1/3/08,1/1/08,UA944,OH5466,JFK,LAX,ORD,700
20,LAX_ORD_JFK,33,9,1425,42,1/3/08,1/1/08,AA764,MQ4138,JFK,LAX,ORD,558
21,LAX_ORD_JFK,46,9,1708,55,1/3/08,1/1/08,AA88,AA2352,JFK,LAX,ORD,853
22,LAX_ORD_JFK,13,9,1208,22,1/3/08,1/1/08,AA764,B6908,JFK,LAX,ORD,558
23,LAX_ORD_JFK,46,9,1708,55,1/3/08,1/1/08,AA764,AA2352,JFK,LAX,ORD,558
24,LAX_ORD_JFK,13,9,1208,22,1/3/08,1/1/08,AA88,B6908,JFK,LAX,ORD,853
25,LAX_ORD_JFK,8,9,1603,17,1/3/08,1/1/08,AA764,B6916,JFK,LAX,ORD,558
26,LAX_ORD_JFK,8,9,1603,17,1/3/08,1/1/08,AA88,B6916,JFK,LAX,ORD,853
27,LAX_ORD_JFK,-14,9,1853,-5,1/3/08,1/1/08,AA764,B6918,JFK,LAX,ORD,558
28,LAX_ORD_JFK,-14,9,1853,-5,1/3/08,1/1/08,AA88,B6918,JFK,LAX,ORD,853
29,LAX_ORD_JFK,46,13,1708,59,1/3/08,1/1/08,AA2276,AA2352,JFK,LAX,ORD,631
3,LAX_ORD_JFK,33,-4,1425,29,1/3/08,1/1/08,UA944,MQ4138,JFK,LAX,ORD,700
30,LAX_ORD_JFK,8,13,1603,21,1/3/08,1/1/08,AA2276,B6916,JFK,LAX,ORD,631
31,LAX_ORD_JFK,-14,13,1853,-1,1/3/08,1/1/08,AA2276,B6918,JFK,LAX,ORD,631
32,LAX_ORD_JFK,13,13,1208,26,1/3/08,1/1/08,AA2276,B6908,JFK,LAX,ORD,631
33,LAX_ORD_JFK,33,13,1425,46,1/3/08,1/1/08,AA2276,MQ4138,JFK,LAX,ORD,631
34,LAX_ORD_JFK,240,13,1335,253,1/3/08,1/1/08,AA2276,OH5466,JFK,LAX,ORD,631
35,LAX_ORD_JFK,8,13,1736,21,1/3/08,1/1/08,AA2276,OH5366,JFK,LAX,ORD,631
36,LAX_ORD_JFK,8,14,1736,22,1/3/08,1/1/08,UA110,OH5366,JFK,LAX,ORD,1005
37,LAX_ORD_JFK,240,14,1335,254,1/3/08,1/1/08,UA110,OH5466,JFK,LAX,ORD,1005
38,LAX_ORD_JFK,33,14,1425,47,1/3/08,1/1/08,UA110,MQ4138,JFK,LAX,ORD,1005
39,LAX_ORD_JFK,46,14,1708,60,1/3/08,1/1/08,UA110,AA2352,JFK,LAX,ORD,1005
4,LAX_ORD_JFK,-14,-4,1853,-18,1/3/08,1/1/08,UA944,B6918,JFK,LAX,ORD,700
