rank,route,origin,layover,dest,firstflight,depdate,deptime,first_delay,secondflight,second_depdate,second_deptime,second_delay,total_delay
6,CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,UA111,4/5/08,1208,38,23
7,CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,UA127,4/5/08,1847,20,5
8,CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,UA121,4/5/08,1219,-3,-18
9,CMI_ORD_LAX,CMI,ORD,LAX,MQ4401,4/3/08,808,-15,UA941,4/5/08,1712,19,4
1,LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,OH5366,1/3/08,1736,8,4
10,LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,B6916,1/3/08,1603,8,16
11,LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,B6918,1/3/08,1853,-14,-6
12,LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,MQ4138,1/3/08,1425,33,41
13,LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,OH5366,1/3/08,1736,8,16
14,LAX_ORD_JFK,LAX,ORD,JFK,UA106,1/1/08,856,8,OH5466,1/3/08,1335,240,248
15,LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,OH5366,1/3/08,1736,8,17
16,LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,OH5366,1/3/08,1736,8,17
17,LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,OH5466,1/3/08,1335,240,249
18,LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,OH5466,1/3/08,1335,240,249
19,LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,MQ4138,1/3/08,1425,33,42
2,LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,OH5466,1/3/08,1335,240,236
20,LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,MQ4138,1/3/08,1425,33,42
21,LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,AA2352,1/3/08,1708,46,55
22,LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,B6908,1/3/08,1208,13,22
23,LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,AA2352,1/3/08,1708,46,55
24,LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,B6908,1/3/08,1208,13,22
25,LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,B6916,1/3/08,1603,8,17
26,LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,B6916,1/3/08,1603,8,17
27,LAX_ORD_JFK,LAX,ORD,JFK,AA764,1/1/08,558,9,B6918,1/3/08,1853,-14,-5
28,LAX_ORD_JFK,LAX,ORD,JFK,AA88,1/1/08,853,9,B6918,1/3/08,1853,-14,-5
29,LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,AA2352,1/3/08,1708,46,59
3,LAX_ORD_JFK,LAX,ORD,JFK,UA944,1/1/08,700,-4,MQ4138,1/3/08,1425,33,29
30,LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,B6916,1/3/08,1603,8,21
31,LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,B6918,1/3/08,1853,-14,-1
32,LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,B6908,1/3/08,1208,13,26
33,LAX_ORD_JFK,LAX,ORD,JFK,AA2276,1/1/08,631,13,MQ4138,1/3/08,1425,33,46
